City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Sioux Lookout,CA,50.1001,-91.917,23.07,86,100,3.44,overcast clouds
236,Hit,IQ,33.6416,42.8251,61.05,81,94,3.13,overcast clouds
237,Flin Flon,CA,54.7682,-101.865,14.7,90,100,13.98,light snow
238,Jaciara,BR,-15.9653,-54.9683,70.66,52,0,0.4,clear sky
239,Pahrump,US,36.2083,-115.9839,46.26,26,0,1.63,clear sky
240,Kulunda,RU,52.566,78.9385,21.31,86,100,13.94,overcast clouds
241,Miles City,US,46.4083,-105.8406,27.57,80,100,21.85,overcast clouds
242,Cody,US,44.5263,-109.0565,26.91,92,100,4.61,mist
243,Port Lincoln,AU,-34.7333,135.8667,63.45,61,1,16.24,clear sky
244,Srednekolymsk,RU,67.45,153.6833,-4.56,99,100,6.26,light snow
245,Rosetta,EG,31.4044,30.4164,63.19,79,2,6.38,light rain
246,Alice Springs,AU,-23.7,133.8833,81.95,36,40,17.27,scattered clouds
247,Fulton,US,33.7668,-84.4499,40.78,72,72,5.99,broken clouds
248,College,US,64.8569,-147.8028,4.06,88,47,3.71,scattered clouds
249,Hamilton,US,39.1834,-84.5333,31.87,75,54,8.99,broken clouds
250,Harper,LR,4.375,-7.7169,76.6,85,19,0.87,few clouds
251,Maneadero,MX,31.7167,-116.5667,58.1,27,0,5.99,clear sky
252,Bonavista,CA,48.6499,-53.1147,34.66,66,99,7.83,overcast clouds
253,Tabas,IR,33.5959,56.9244,52.02,30,66,4.61,broken clouds
254,Vila Velha,BR,-20.3297,-40.2925,71.55,98,75,3.44,broken clouds
255,Muzhi,RU,65.3667,64.6667,-1.86,87,23,6.44,few clouds
256,Great Falls,US,47.5002,-111.3008,25.99,85,100,14.97,overcast clouds
257,Namibe,AO,-15.1961,12.1522,69.15,77,99,4.74,overcast clouds
258,Vallenar,CL,-28.5708,-70.7581,66.16,68,0,1.52,clear sky
259,Fort Nelson,CA,58.8053,-122.7002,11.95,83,0,2.3,clear sky
260,Travesia,HN,15.8667,-87.9,79.09,81,78,3.04,light rain
261,Faanui,PF,-16.4833,-151.75,79.88,71,97,0.98,overcast clouds
262,Yulara,AU,-25.2406,130.9889,86.43,35,23,21.47,few clouds
263,Pisco,PE,-13.7,-76.2167,62.65,82,0,9.22,clear sky
264,Owando,CG,-0.4819,15.8999,69.13,98,100,2.66,overcast clouds
265,Bibiani,GH,6.4635,-2.3194,66.88,97,32,1.79,scattered clouds
266,Maunabo,PR,18.0072,-65.8993,76.89,90,32,9.24,scattered clouds
267,Oarai,JP,36.3167,140.6,63.34,49,79,3.71,broken clouds
268,Zhigansk,RU,66.7697,123.3711,-13.81,87,100,15.55,overcast clouds
269,Zhangjiakou,CN,40.81,114.8794,46.71,39,1,2.39,clear sky
270,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,58,0,6.91,clear sky
271,Bambanglipuro,ID,-7.95,110.2833,85.73,69,46,6.22,scattered clouds
272,Ulaangom,MN,49.9811,92.0667,30.97,45,92,8.1,overcast clouds
273,Camacha,PT,33.0833,-16.3333,65.62,88,40,8.05,scattered clouds
274,Coquimbo,CL,-29.9533,-71.3436,58.73,94,0,2.3,clear sky
275,Yeppoon,AU,-23.1333,150.7333,87.58,41,88,12.62,overcast clouds
276,Moree,AU,-29.4667,149.85,71.1,23,0,10.63,clear sky
277,Jawhar,SO,2.7809,45.5005,75.99,85,1,5.61,light rain
278,Marshfield,US,44.6689,-90.1718,29.08,93,100,9.22,mist
279,Pacific Grove,US,36.6177,-121.9166,56.44,59,98,3.0,overcast clouds
280,Key Largo,US,25.0865,-80.4473,77.99,74,59,3.76,broken clouds
281,Matay,EG,28.419,30.7792,58.66,57,77,3.11,broken clouds
282,Sao Goncalo Do Amarante,BR,-3.6072,-38.9683,80.13,76,31,6.71,scattered clouds
283,Riyadh,SA,24.6877,46.7219,68.14,30,92,9.01,overcast clouds
284,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,82,98,9.46,overcast clouds
285,Masallatah,LY,32.6167,14.0,64.8,34,1,14.61,clear sky
286,Laranjeiras Do Sul,BR,-25.4078,-52.4161,53.04,84,0,4.16,clear sky
287,Haren,DE,52.7833,7.2333,47.1,93,100,16.11,heavy intensity rain
288,Lompoc,US,34.6391,-120.4579,55.54,71,0,3.44,clear sky
289,Tuy Hoa,VN,13.0833,109.3,81.59,82,83,9.31,broken clouds
290,Fukue,JP,32.6881,128.8419,64.76,55,75,3.44,broken clouds
291,Clinton,US,42.587,-82.9199,36.01,81,100,4.61,overcast clouds
292,Bago,MM,17.3367,96.4797,84.42,62,66,7.43,broken clouds
293,Punta Alta,AR,-38.8759,-62.0736,61.54,81,53,12.12,broken clouds
294,Ordu,TR,40.9086,37.6845,40.86,73,33,7.45,scattered clouds
295,Saldanha,ZA,-33.0117,17.9442,53.65,77,97,15.55,overcast clouds
296,Pasni,PK,25.2631,63.471,79.3,48,4,9.26,clear sky
297,Vestmannaeyjar,IS,63.4427,-20.2734,47.91,82,89,39.46,overcast clouds
298,Abu Samrah,SY,35.3029,37.1841,55.26,78,100,1.32,overcast clouds
299,Kaitangata,NZ,-46.2817,169.8464,57.49,81,95,6.62,overcast clouds
300,Mayo,US,38.8876,-76.5119,44.11,56,100,11.5,overcast clouds
301,Kunfeherto,HU,46.3609,19.4145,45.03,90,85,6.87,overcast clouds
302,Ovalle,CL,-30.5983,-71.2003,66.33,67,0,2.8,clear sky
303,Saint-Pierre,RE,-21.3393,55.4781,74.88,46,0,5.75,clear sky
304,Port Alberni,CA,49.2413,-124.8028,39.04,95,36,1.99,scattered clouds
305,Casablanca,MA,33.5928,-7.6192,61.02,88,18,9.55,few clouds
306,Tual,ID,-5.6667,132.75,83.75,72,100,5.17,overcast clouds
307,Vangaindrano,MG,-23.35,47.6,74.3,82,98,6.42,overcast clouds
308,Ballina,AU,-28.8667,153.5667,71.02,47,8,12.26,clear sky
309,Benjamin Constant,BR,-4.3831,-70.0311,73.53,99,81,2.33,broken clouds
310,Bria,CF,6.5423,21.9863,66.22,60,100,3.18,overcast clouds
311,Takoradi,GH,4.8845,-1.7554,77.34,83,62,6.42,light rain
312,Vardo,NO,70.3705,31.1107,37.38,44,49,10.36,scattered clouds
313,Champerico,GT,14.3,-91.9167,80.76,77,97,4.23,overcast clouds
314,Tokur,RU,53.1333,132.9,14.68,81,100,5.55,overcast clouds
315,Chalmette,US,29.9427,-89.9634,52.0,60,100,5.01,overcast clouds
316,Point Pleasant,US,40.0832,-74.0682,42.03,65,95,7.0,overcast clouds
317,Ust-Tsilma,RU,65.441,52.1498,-4.77,100,36,3.51,scattered clouds
318,Shingu,JP,33.7333,135.9833,63.93,45,80,3.33,broken clouds
319,Hami,CN,42.8,93.45,42.55,35,100,3.18,overcast clouds
320,Itarema,BR,-2.9248,-39.9167,78.01,74,7,12.71,clear sky
321,Gizo,SB,-8.103,156.8419,84.22,66,71,2.24,broken clouds
322,Airai,TL,-8.9266,125.4092,77.13,50,81,2.98,broken clouds
323,Tabou,CI,4.423,-7.3528,76.69,84,13,1.79,few clouds
324,Camana,PE,-16.6228,-72.7111,64.13,89,99,5.99,overcast clouds
325,Shakawe,BW,-18.3667,21.85,70.32,42,22,4.76,few clouds
326,Kochi,IN,9.9399,76.2602,82.38,72,98,3.6,overcast clouds
327,Novo Aripuana,BR,-5.1206,-60.3797,77.18,84,87,1.92,overcast clouds
328,Mumbwa,ZM,-14.9783,27.0619,65.53,80,5,1.72,clear sky
329,Altea,ES,38.5989,-0.0514,70.38,68,98,11.92,overcast clouds
330,Eirunepe,BR,-6.6603,-69.8736,71.51,98,87,2.53,very heavy rain
331,Tezu,IN,27.9167,96.1667,75.27,31,6,3.33,clear sky
332,Batticaloa,LK,7.7102,81.6924,79.74,69,75,12.15,broken clouds
333,Kununurra,AU,-15.7667,128.7333,93.18,52,21,9.22,few clouds
